angle,angular_velocity,-3,0,3
-2.7156,-20.5412,-1259.7706898893118,-1254.2679335484386,-1259.8110769578384
-2.7156,-18.1246,-1306.736592282828,-1304.4779406325003,-1310.2515972721708
-2.7156,-15.708,-1338.9335656319586,-1338.8956795260467,-1338.886288911093
-2.7156,-13.2914,-1373.7462675117813,-1375.9281417628542,-1374.3249798259328
-2.7156,-10.8747,-1405.2471725822088,-1406.4985027956309,-1406.0785840166789
-2.7156,-8.4581,-1425.6295128230697,-1425.4744293986764,-1425.392410497553
-2.7156,-6.0415,-1433.8418780543436,-1433.0217219869473,-1435.5722833700938
-2.7156,-3.6249,-1430.2026053250647,-1429.8195521536434,-1431.0711575903306
-2.7156,-1.2083,-1378.3746442065806,-1379.7061636595129,-1379.3205719084199
-2.7156,1.2083,-1348.400691714422,-1344.353144047201,-1344.480289107204
-2.7156,3.6249,-1306.881547012778,-1301.1286535975953,-1301.811168182875
-2.7156,6.0415,-1260.736324728852,-1251.9659017699976,-1256.585788939879
-2.7156,8.4581,-1181.9947901541825,-1179.7728336790556,-1165.9292711840242
-2.7156,10.8747,-1094.5960775940302,-1084.4466916625,-1080.2240177863011
-2.7156,13.2914,-1018.93052690544,-1012.5128360523458,-1014.8636298035397
-2.7156,15.708,-956.4775399324922,-953.8903487200483,-949.3384479056308
-2.7156,18.1246,-898.1830839780026,-899.0436404556146,-903.1090076376322
-2.7156,20.5412,-863.7881587322728,-861.7049132245841,-859.0455488650904
-2.7156,22.9578,-787.2824593445974,-785.384426498716,-781.4761544339648
-2.7156,25.3744,-494.1453807128423,-509.05166138287916,-479.98539878502277
-2.7156,27.791,0.0,0.0,0.0
-2.7156,30.2076,0.0,0.0,0.0
-2.7156,32.6242,0.0,0.0,0.0
-2.7156,35.0408,0.0,0.0,0.0
-2.7156,37.4575,0.0,0.0,0.0
-2.7156,39.8741,0.0,0.0,0.0
-2.7156,42.2907,0.0,0.0,0.0
-2.7156,44.7073,0.0,0.0,0.0
-2.7156,47.1239,0.0,0.0,0.0
-2.6091,-47.1239,0.0,0.0,0.0
-2.6091,-44.7073,0.0,0.0,0.0
-2.6091,-42.2907,0.0,0.0,0.0
-2.6091,-39.8741,0.0,0.0,0.0
-2.6091,-37.4575,0.0,0.0,0.0
-2.6091,-35.0408,0.0,0.0,0.0
-2.6091,-32.6242,0.0,0.0,0.0
-2.6091,-30.2076,0.0,0.0,0.0
-2.6091,-27.791,0.0,0.0,0.0
-2.6091,-25.3744,-11.459031693373527,-19.911137515252584,-89.72004816413295
-2.6091,-22.9578,-1097.2973376021077,-1098.0796601461757,-1092.8525105035267
-2.6091,-20.5412,-1283.2217867444012,-1284.5064614526134,-1285.782770979406
-2.6091,-18.1246,-1326.357446582855,-1322.1976623004314,-1322.054674544076
-2.6091,-15.708,-1366.7836742293166,-1370.2931882956925,-1368.395155278223
-2.6091,-13.2914,-1395.0822011227906,-1395.038274915892,-1394.9166181936257
-2.6091,-10.8747,-1423.5243855752944,-1421.6539540590832,-1422.294686566912
-2.6091,-8.4581,-1425.1417031254005,-1425.4751919325213,-1427.5761980673456
-2.6091,-6.0415,-1432.8084343099124,-1431.5078015536787,-1433.0103358757078
-2.6091,-3.6249,-1422.4013150736725,-1418.3568806336086,-1419.5524910051438
-2.6091,-1.2083,-1384.4199110813922,-1379.3171847032554,-1380.0461405986593
-2.6091,1.2083,-1321.1604078507432,-1321.3017573737204,-1318.8783873088278
-2.6091,3.6249,-1299.9140384880006,-1301.4721242999535,-1300.170399332907
-2.6091,6.0415,-1220.2617586116544,-1196.9230765779914,-1201.708281669267
-2.6091,8.4581,-1115.3080275654588,-1115.7196422968843,-1099.031151318494
-2.6091,10.8747,-1034.151869725667,-1033.2068825457761,-1029.0597763546637
-2.6091,13.2914,-971.1402469887444,-966.7657107071084,-962.2316227703581
-2.6091,15.708,-896.1053017501654,-889.0890598833194,-893.3717006247172
-2.6091,18.1246,-846.2461419568693,-843.6634450493808,-846.5451630716473
-2.6091,20.5412,-799.4513504692065,-801.6181839081619,-794.8944284070745
-2.6091,22.9578,-718.7728888220896,-721.931932271812,-721.8364397959723
-2.6091,25.3744,-448.4124347661549,-445.6589711518185,-432.1577592324013
-2.6091,27.791,0.0,0.0,0.0
-2.6091,30.2076,0.0,0.0,0.0
-2.6091,32.6242,0.0,0.0,0.0
-2.6091,35.0408,0.0,0.0,0.0
-2.6091,37.4575,0.0,0.0,0.0
-2.6091,39.8741,0.0,0.0,0.0
-2.6091,42.2907,0.0,0.0,0.0
-2.6091,44.7073,0.0,0.0,0.0
-2.6091,47.1239,0.0,0.0,0.0
-2.5026,-47.1239,0.0,0.0,0.0
-2.5026,-44.7073,0.0,0.0,0.0
-2.5026,-42.2907,0.0,0.0,0.0
-2.5026,-39.8741,0.0,0.0,0.0
-2.5026,-37.4575,0.0,0.0,0.0
-2.5026,-35.0408,0.0,0.0,0.0
-2.5026,-32.6242,0.0,0.0,0.0
-2.5026,-30.2076,0.0,0.0,0.0
-2.5026,-27.791,0.0,0.0,0.0
-2.5026,-25.3744,0.0,-9.956080372893016,0.0
-2.5026,-22.9578,-1033.7314647029852,-1094.5173446451056,-1090.5233017994628
-2.5026,-20.5412,-1284.976986310007,-1301.213729443212,-1301.5730033350708
-2.5026,-18.1246,-1335.1165321546496,-1336.2045858377505,-1336.62973776986
-2.5026,-15.708,-1388.2255056053423,-1387.9358563140474,-1393.0977618940292
-2.5026,-13.2914,-1407.949725794241,-1406.772914341773,-1407.8021741721902
-2.5026,-10.8747,-1427.8114747507489,-1427.1008798505393,-1428.161688805859
-2.5026,-8.4581,-1428.9059671110924,-1428.4597617785564,-1428.1429917269338
-2.5026,-6.0415,-1427.6695429215586,-1428.6492632476559,-1428.774401455091
-2.5026,-3.6249,-1395.3145653944541,-1397.2028689488811,-1398.0460796808925
-2.5026,-1.2083,-1379.5363352534964,-1373.6266890808952,-1374.6641208938167
-2.5026,1.2083,-1340.154695850947,-1328.6046094091164,-1332.828411142762
-2.5026,3.6249,-1267.1756812826663,-1253.6723515954723,-1255.9633938229385
-2.5026,6.0415,-1154.5033106941798,-1160.3506074584332,-1147.8899741431287
-2.5026,8.4581,-1051.9299457655943,-1054.3209765997133,-1045.2666727229266
-2.5026,10.8747,-980.8414666318739,-988.7414132096686,-983.7620918814353
-2.5026,13.2914,-904.9653723826557,-907.8485392057252,-902.3182465994752
-2.5026,15.708,-838.7119038397708,-833.9840417791308,-839.5367634474226
-2.5026,18.1246,-775.87083969701,-778.1598157686365,-776.0677903650873
-2.5026,20.5412,-732.9778959161637,-732.6291374971389,-735.6105405945966
-2.5026,22.9578,-664.4873577050257,-663.976508107465,-665.9305553668298
-2.5026,25.3744,-344.69776921071974,-337.60208139753365,-318.0185123186515
-2.5026,27.791,0.0,0.0,0.0
-2.5026,30.2076,0.0,0.0,0.0
-2.5026,32.6242,0.0,0.0,0.0
-2.5026,35.0408,0.0,0.0,0.0
-2.5026,37.4575,0.0,0.0,0.0
-2.5026,39.8741,0.0,0.0,0.0
-2.5026,42.2907,0.0,0.0,0.0
-2.5026,44.7073,0.0,0.0,0.0
-2.5026,47.1239,0.0,0.0,0.0
-2.3961,-47.1239,0.0,0.0,0.0
-2.3961,-44.7073,0.0,0.0,0.0
-2.3961,-42.2907,0.0,0.0,0.0
-2.3961,-39.8741,0.0,0.0,0.0
-2.3961,-37.4575,0.0,0.0,0.0
-2.3961,-35.0408,0.0,0.0,0.0
-2.3961,-32.6242,0.0,0.0,0.0
-2.3961,-30.2076,0.0,0.0,0.0
-2.3961,-27.791,0.0,0.0,0.0
